"","Year","temp.demain","Predicted"
"1",2010-07-06,19.65,20.19854879636
"2",2010-07-14,21.66,26.0375520813247
"3",2010-07-24,17.23,17.2872655675852
"4",2010-07-28,16.29,16.7995860245494
"5",2010-08-13,17.65,17.2349343533079
"6",2010-08-25,22.6,18.5922517951766
"7",2010-08-27,15.33,18.4652037367047
"8",2010-08-29,12.09,14.9858204850301
"9",2010-09-06,16.13,14.7561457438348
"10",2010-10-10,8.99,13.3872198264735
"11",2010-10-24,6.04,8.67751360236126
"12",2010-11-11,13.29,5.86889906557035
"13",2010-11-21,3.27,4.09051180730841
"14",2010-11-25,0.45,3.87122763066651
"15",2010-11-29,-2.69,1.2797871095046
"16",2010-12-03,-1.88,-2.22563115403075
"17",2010-12-05,2.61,0.626225724466648
"18",2010-12-11,2.64,2.79582459782602
"19",2010-12-17,-2.31,-1.78361984578363
"20",2010-12-19,6.71,0.405392109394453
"21",2010-12-31,0.12,0.35136243411366
"22",2011-01-04,-0.21,-0.736233313284269
"23",2011-01-20,-0.33,0.354592807652626
"24",2011-02-13,7.64,7.95239785332729
"25",2011-04-16,11.68,12.2648941423102
"26",2011-05-08,18.41,20.2811127106405
"27",2011-05-18,18.54,17.3228716539536
"28",2011-05-20,19.43,17.4182395973371
"29",2011-05-24,16.61,18.8917444526333
"30",2011-06-15,18.24,18.2028847844039
"31",2011-06-17,15.94,18.7509714166187
"32",2011-06-21,20.37,21.3739086830081
"33",2011-07-05,20.75,21.4919462034111
"34",2011-07-25,16.75,16.6791073647966
"35",2011-07-31,17.5,17.9164163061093
"36",2011-08-08,14.6,15.2928107413115
"37",2011-08-14,19.81,18.6345530567839
"38",2011-08-18,24.66,24.1189217406792
"39",2011-08-24,23.31,23.0230915850133
"40",2011-09-01,22.31,18.7585173177228
"41",2011-09-27,17.56,19.0779234029031
"42",2011-10-15,9.35,8.20907965501249
"43",2011-10-23,7.8,9.22897348559097
"44",2011-10-29,14.28,13.3412950290315
"45",2011-11-02,11.41,12.5922018835008
"46",2011-11-12,6.46,9.05922569078202
"47",2011-11-22,5.74,7.16132638245936
"48",2011-12-10,5.71,6.13587163731458
"49",2011-12-16,2.57,4.35854780883357
"50",2011-12-30,6.59,2.78038967892688
"51",2012-01-01,9.06,10.1184165717361
"52",2012-01-03,7.09,6.14997755568325
"53",2012-01-19,6.77,6.98974477396384
"54",2012-01-25,4.49,4.97771777671198
"55",2012-01-29,0.68,3.04399401277468
"56",2012-02-08,-5.02,-3.72528167468569
"57",2012-02-10,-5.25,-4.31189251239949
"58",2012-02-20,0.12,1.75188856880247
"59",2012-03-07,5.1,6.14244446232299
"60",2012-03-11,7.55,7.08119436838042
"61",2012-03-15,12.38,12.6643385059269
"62",2012-04-06,9.07,10.2838694454436
"63",2012-04-10,9.35,11.3071384777294
"64",2012-04-16,6.64,7.07923759617907
"65",2012-05-02,13.59,13.5927241500172
"66",2012-05-30,19.23,18.3272149232863
"67",2012-06-03,15.46,17.340290198801
"68",2012-06-27,23.55,20.8033530334099
"69",2012-07-01,15.7,16.2993036773668
"70",2012-07-09,19.56,19.0623965561047
"71",2012-07-25,24.28,23.513196831949
